sample,H2,C1,C2,C3,C4,C5,C6+,N2,CO,CO2,H2S
1,55.85,15.65,14.02,9.13,3.69,0.54,0.11,0.11,0.65,0.22,0.03
2,54.6,13.06,13.06,9.36,6.89,1.13,0.21,0.87,0.41,0.31,0.11
3,52.54,13.16,12.24,12.44,6.68,1.03,0.21,0.87,0.62,0.21,0.01
4,52.52,13.1,13,12.37,5.45,1.36,0.31,1.15,0.52,0.21,0
5,52.29,12.48,12.79,10.95,7.16,1.43,0.41,1.76,0.51,0.2,0.01
6,63.19,10.65,10.45,7.33,5.73,0.4,0.4,1.73,0,0.1,0.01
7,62.89,10.15,10.85,7.74,5.63,0.4,0.6,1.73,0,0,0.02
8,64.72,11.56,10.84,6.4,4.75,0.72,0.1,0.38,0.41,0.1,0.01
9,54.25,12.45,13.16,8.91,6.88,1.52,0.51,1.59,0.51,0.2,0.03
10,60.77,12.5,11.78,7.69,5.02,0.82,0.2,0.63,0.31,0.1,0.17
11,65.6,10.88,10.07,6.81,4.68,0.92,0.2,0.4,0.31,0.1,0.03
12,59.71,14.02,12.67,8,4.26,0.83,0.1,0,0.31,0.1,0
13,59.95,12.46,11.75,9.7,4.6,1.12,0.2,0,0.2,0,0.01
14,60.99,10.42,11.04,8.46,5.99,1.24,0.62,0.89,0.21,0.1,0.04
15,70.49,8.66,7.33,6.01,5.2,0.92,0.2,0.3,0.41,0.31,0.17
16,74.08,8.46,7.52,6.48,2.4,0.31,0.1,0,0.52,0.1,0
17,57.34,11.63,11.73,9.78,7.82,0.93,0.21,0.15,0.31,0.1,0.01
18,54.28,13.59,13.7,8.38,5.72,1.64,0.51,1.55,0.41,0.2,0.01
19,56.31,14.57,13.43,8.47,4.44,1.03,0.21,0.79,0.41,0.31,0.01
20,52.95,12.76,13.67,9.21,6.68,1.62,0.51,1.89,0.51,0.2,0.01
21,53.05,13.57,13.57,10.02,5.97,1.32,0.61,1.19,0.51,0.2,0
22,52.2,14.62,14,9.57,6.49,1.24,0.31,0.76,0.51,0.21,0.09
23,52.34,13.66,13.16,9.85,8.34,1.31,0.3,0.34,0.5,0.2,0
24,53.93,13.74,12.71,9.53,6.25,1.33,0.41,1.25,0.51,0.21,0.12
25,53.73,14.25,13.64,9.46,5.29,1.32,0.41,1.19,0.51,0.2,0
26,53.86,13.9,13.55,9.07,5.17,1.26,0.34,2,0.57,0.23,0.03
27,53.35,13.01,13.62,9.76,6.5,1.42,0.41,1.21,0.51,0.2,0.01
28,64.99,9.13,9.24,8.15,5.43,0.98,0.11,1.09,0.54,0.33,0.01
29,48.2,13.62,14.14,10.16,9.22,1.57,0.52,1.72,0.52,0.31,0.01
30,42.37,15.59,13.95,11.08,11.49,1.54,0.31,2.4,0.82,0.41,0.04
31,61.55,12.5,9.91,7.13,6.3,1.03,0.52,0.38,0.41,0.1,0.17
32,58.51,11.96,9.53,10.85,5.88,1.12,0.51,1.09,0.41,0.1,0.05
33,59.37,14.09,10.12,10.23,4.59,0.63,0.1,0.12,0.52,0.21,0.02
34,51.9,14.08,12.33,9.76,7.09,1.44,0.51,1.79,0.72,0.31,0.06
35,56.2,14.62,11.82,11.2,3.94,0.62,0.1,0.61,0.62,0.21,0.06
36,63.42,10.69,9.56,7.3,5.04,1.23,0.62,1.38,0.51,0.21,0.05
37,59.92,12.32,10.56,10.56,4.24,0.72,0.1,0.79,0.21,0.52,0.06
38,68.29,10.98,9.15,5.89,3.76,1.02,0.3,0,0.3,0.2,0.1
39,44.61,16.47,16.57,12.38,7.16,1.43,0.31,0.53,0.31,0.2,0.02
