t,volt,pos
0,0,0
0.005,0.56543,0
0.01,1.1306,6.9857e-07
0.015,1.695,3.4443e-06
0.02,2.2586,9.4448e-06
0.025,2.8209,1.978e-05
0.03,3.3816,3.5416e-05
0.035,3.9405,5.7212e-05
0.04,4.4972,8.5938e-05
0.045,5.0513,0.00012227
0.05,5.6027,0.00016683
0.055,6.1509,0.00022013
0.06,6.6958,0.00028266
0.065,7.2369,0.00035484
0.07,7.774,0.00043701
0.075,8.3068,0.00052951
0.08,8.835,0.0006326
0.085,9.3583,0.00074651
0.09,9.8763,0.00087145
0.095,10.389,0.0010076
0.1,10.896,0.001155
0.105,11.397,0.0013139
0.11,11.891,0.0014843
0.115,12.379,0.0016662
0.12,12.86,0.0018597
0.125,13.334,0.0020648
0.13,13.8,0.0022816
0.135,14.259,0.0025099
0.14,14.71,0.0027497
0.145,15.152,0.0030011
0.15,15.587,0.0032638
0.155,16.012,0.0035379
0.16,16.429,0.0038232
0.165,16.837,0.0041196
0.17,17.235,0.004427
0.175,17.624,0.0047453
0.18,18.003,0.0050744
0.185,18.372,0.005414
0.19,18.73,0.005764
0.195,19.079,0.0061243
0.2,19.416,0.0064947
0.205,19.743,0.0068749
0.21,20.059,0.0072649
0.215,20.364,0.0076644
0.22,20.658,0.0080731
0.225,20.94,0.008491
0.23,21.21,0.0089177
0.235,21.469,0.009353
0.24,21.716,0.0097968
0.245,21.951,0.010249
0.25,22.173,0.010709
0.255,22.383,0.011176
0.26,22.581,0.011651
0.265,22.766,0.012133
0.27,22.939,0.012622
0.275,23.099,0.013118
0.28,23.246,0.01362
0.285,23.38,0.014128
0.29,23.501,0.014642
0.295,23.609,0.015161
0.3,23.705,0.015686
0.305,23.786,0.016215
0.31,23.855,0.016749
0.315,23.91,0.017288
0.32,23.953,0.017831
0.325,23.981,0.018377
0.33,23.997,0.018927
0.335,23.999,0.01948
0.34,23.988,0.020036
0.345,23.964,0.020594
0.35,23.926,0.021155
0.355,23.875,0.021718
0.36,23.811,0.022282
0.365,23.733,0.022848
0.37,23.643,0.023414
0.375,23.539,0.023981
